Province_State,Country_Region,Last_Update,Deaths
Alabama,US,2020-04-24 03:33:00,202
Alaska,US,2020-04-24 03:33:00,9
American Samoa,US,2020-04-24 03:33:00,0
Arizona,US,2020-04-24 03:33:00,249
Arkansas,US,2020-04-24 03:33:00,45
California,US,2020-04-24 03:33:00,1533
Colorado,US,2020-04-24 03:33:00,552
Connecticut,US,2020-04-24 03:33:00,1639
Delaware,US,2020-04-24 03:33:00,92
Diamond Princess,US,2020-04-24 03:33:00,0
District of Columbia,US,2020-04-24 03:33:00,139
Florida,US,2020-04-24 03:33:00,987
Georgia,US,2020-04-24 03:33:00,881
Grand Princess,US,2020-04-24 03:33:00,3
Guam,US,2020-04-24 03:33:00,5
Hawaii,US,2020-04-24 03:33:00,12
Idaho,US,2020-04-24 03:33:00,54
Illinois,US,2020-04-24 03:33:00,1688
Indiana,US,2020-04-24 03:33:00,706
Iowa,US,2020-04-24 03:33:00,96
Kansas,US,2020-04-24 03:33:00,113
Kentucky,US,2020-04-24 03:33:00,191
Louisiana,US,2020-04-24 03:33:00,1599
Maine,US,2020-04-24 03:33:00,44
Maryland,US,2020-04-24 03:33:00,748
Massachusetts,US,2020-04-24 03:33:00,2360
Michigan,US,2020-04-24 03:33:00,2977
Minnesota,US,2020-04-24 03:33:00,200
Mississippi,US,2020-04-24 03:33:00,201
Missouri,US,2020-04-24 03:33:00,252
Montana,US,2020-04-24 03:33:00,14
Nebraska,US,2020-04-24 03:33:00,47
Nevada,US,2020-04-24 03:33:00,195
New Hampshire,US,2020-04-24 03:33:00,51
New Jersey,US,2020-04-24 03:33:00,5426
New Mexico,US,2020-04-24 03:33:00,78
New York,US,2020-04-24 03:33:00,20973
North Carolina,US,2020-04-24 03:33:00,281
North Dakota,US,2020-04-24 03:33:00,15
Northern Mariana Islands,US,2020-04-24 03:33:00,2
Ohio,US,2020-04-24 03:33:00,656
Oklahoma,US,2020-04-24 03:33:00,179
Oregon,US,2020-04-24 03:33:00,83
Pennsylvania,US,2020-04-24 03:33:00,1724
Puerto Rico,US,2020-04-24 03:33:00,69
Recovered,US,2020-04-24 03:33:00,0
Rhode Island,US,2020-04-24 03:33:00,189
South Carolina,US,2020-04-24 03:33:00,150
South Dakota,US,2020-04-24 03:33:00,9
Tennessee,US,2020-04-24 03:33:00,171
Texas,US,2020-04-24 03:33:00,604
Utah,US,2020-04-24 03:33:00,35
Vermont,US,2020-04-24 03:33:00,43
Virgin Islands,US,2020-04-24 03:33:00,3
Virginia,US,2020-04-24 03:33:00,373
Washington,US,2020-04-24 03:33:00,711
West Virginia,US,2020-04-24 03:33:00,31
Wisconsin,US,2020-04-24 03:33:00,258
Wyoming,US,2020-04-24 03:33:00,7
Alabama,US,2020-04-25 06:32:46,209
Alaska,US,2020-04-25 06:32:46,9
American Samoa,US,2020-04-25 06:32:46,0
Arizona,US,2020-04-25 06:32:46,266
Arkansas,US,2020-04-25 06:32:46,47
California,US,2020-04-25 06:32:46,1621
Colorado,US,2020-04-25 06:32:46,674
Connecticut,US,2020-04-25 06:32:46,1767
Delaware,US,2020-04-25 06:32:46,100
Diamond Princess,US,2020-04-25 06:32:46,0
District of Columbia,US,2020-04-25 06:32:46,153
Florida,US,2020-04-25 06:32:46,1046
Georgia,US,2020-04-25 06:32:46,899
Grand Princess,US,2020-04-25 06:32:46,3
Guam,US,2020-04-25 06:32:46,5
Hawaii,US,2020-04-25 06:32:46,13
Idaho,US,2020-04-25 06:32:46,54
Illinois,US,2020-04-25 06:32:46,1795
Indiana,US,2020-04-25 06:32:46,741
Iowa,US,2020-04-25 06:32:46,107
Kansas,US,2020-04-25 06:32:46,118
Kentucky,US,2020-04-25 06:32:46,200
Louisiana,US,2020-04-25 06:32:46,1660
Maine,US,2020-04-25 06:32:46,47
Maryland,US,2020-04-25 06:32:46,798
Massachusetts,US,2020-04-25 06:32:46,2556
Michigan,US,2020-04-25 06:32:46,3085
Minnesota,US,2020-04-25 06:32:46,221
Mississippi,US,2020-04-25 06:32:46,209
Missouri,US,2020-04-25 06:32:46,272
Montana,US,2020-04-25 06:32:46,14
Nebraska,US,2020-04-25 06:32:46,50
Nevada,US,2020-04-25 06:32:46,197
New Hampshire,US,2020-04-25 06:32:46,53
New Jersey,US,2020-04-25 06:32:46,5683
New Mexico,US,2020-04-25 06:32:46,84
New York,US,2020-04-25 06:32:46,21411
North Carolina,US,2020-04-25 06:32:46,294
North Dakota,US,2020-04-25 06:32:46,15
Northern Mariana Islands,US,2020-04-25 06:32:46,2
Ohio,US,2020-04-25 06:32:46,690
Oklahoma,US,2020-04-25 06:32:46,188
Oregon,US,2020-04-25 06:32:46,86
Pennsylvania,US,2020-04-25 06:32:46,1747
Puerto Rico,US,2020-04-25 06:32:46,77
Recovered,US,2020-04-25 06:32:46,0
Rhode Island,US,2020-04-25 06:32:46,202
South Carolina,US,2020-04-25 06:32:46,157
South Dakota,US,2020-04-25 06:32:46,10
Tennessee,US,2020-04-25 06:32:46,169
Texas,US,2020-04-25 06:32:46,624
Utah,US,2020-04-25 06:32:46,39
Vermont,US,2020-04-25 06:32:46,44
Virgin Islands,US,2020-04-25 06:32:46,3
Virginia,US,2020-04-25 06:32:46,411
Washington,US,2020-04-25 06:32:46,722
West Virginia,US,2020-04-25 06:32:46,32
Wisconsin,US,2020-04-25 06:32:46,263
Wyoming,US,2020-04-25 06:32:46,7
Alabama,US,2020-04-26 02:32:45,209
Alaska,US,2020-04-26 02:32:45,9
American Samoa,US,2020-04-26 02:32:45,0
Arizona,US,2020-04-26 02:32:45,273
Arkansas,US,2020-04-26 02:32:45,48
California,US,2020-04-26 02:32:45,1689
