"Rank in states & territories, 2019","Rank in states & territories, 2010",State,"Population estimate, July 1, 2019","Census population, April 1, 2010","Percent change, 2010–2019","Absolute change, 2010-2019","Total seats in the U.S. House of Representatives, 2013–2023","Estimated population per electoral vote, 2019","Estimated population per House seat, 2019","Census population per House seat, 2010","Percent of the total U.S. population, 2018"
24,23, Alabama,"4,903,185","4,779,736",2.60%,"123,449",7,"544,798","700,455","682,819",1.48%
49,48, Alaska,"731,545","710,231",3.00%,"21,314",1,"243,848","731,545","710,231",0.22%
55,55, American Samoa,"55,641","55,519[6]",0.22%,122,1 (non-voting),,—,—,0.02%
14,16, Arizona,"7,278,717","6,392,017",13.90%,"886,700",9,"661,702","808,746","710,224",2.17%
34,33, Arkansas,"3,017,825","2,915,918",3.50%,"101,886",4,"502,967","754,451","728,990",0.91%
1,1, California,"39,512,223","37,254,523",6.10%,"2,257,700",53,"718,404","745,514","702,885",11.96%
21,22, Colorado,"5,758,736","5,029,196",14.50%,"729,540",7,"639,860","822,677","720,704",1.72%
29,30, Connecticut,"3,565,287","3,574,097",-0.20%,"?8,810",5,"509,327","713,057","714,824",1.08%
46,46, Delaware,"973,764","897,934",8.40%,"75,830",1,"324,588","973,764","897,934",0.29%
50,51, District of Columbia,"705,749","601,723",17.30%,"104,026",1 (non-voting),"235,250",—,—,0.21%
3,4, Florida,"21,477,737","18,801,310",14.20%,"2,676,427",27,"740,611","795,472","696,468",6.44%
8,9, Georgia,"10,617,423","9,687,653",9.60%,"929,770",14,"663,589","758,387","691,975",3.18%
53,53, Guam,"165,718","159,358[4]",4.00%,"6,360",1 (non-voting),,—,—,0.05%
41,41, Hawaii,"1,415,872","1,360,301",4.10%,"55,571",2,"353,968","707,936","680,151",0.43%
39,40, Idaho,"1,787,065","1,567,582",14.00%,"219,483",2,"446,516","893,033","783,826",0.53%
6,5, Illinois,"12,671,821","12,830,632",-1.20%,"?158,811",18,"633,591","703,990","712,864",3.85%
17,15, Indiana,"6,732,219","6,483,802",3.80%,"248,417",9,"612,020","748,024","720,422",2.02%
32,31, Iowa,"3,155,070","3,046,355",3.60%,"108,715",4,"525,845","788,768","761,717",0.95%
36,34, Kansas,"2,913,314","2,853,118",2.10%,"60,196",4,"485,552","728,329","713,280",0.88%
26,26, Kentucky,"4,467,673","4,339,367",3.00%,"128,306",6,"558,459","744,612","723,228",1.35%
25,25, Louisiana,"4,648,794","4,533,372",2.50%,"115,422",6,"581,099","774,799","755,562",1.41%
43,42, Maine,"1,344,212","1,328,361",1.20%,"15,851",2,"336,053","672,106","664,181",0.40%
